,note,pro,con,anonymous,tutorial,topic,month,date
896,5,Easy to follow an sufficient information at each step.,The WEB-output of the MultiQC did not work. I don't know if this is a Galaxy-issue or some lacking information in the tutorial?,,Quality Control,Sequence analysis,2020-11,2020-11-18
897,4,Everything worked and the steps didn't take too much time.  ALso It was good to see the luminal data used.  I don't think it was used in the prvious tutorials (although it may have been an option - I'll double check.)  We did it any way.,"I'd like to see more discussion of what to make of these gene and process lists.  The first go method came up with categories such as ""cell""  what to make of this?  Also - the gene lists identified in these tutorials does not match that of the Fu paper.  Probably because a smaller data set was used ?  ",,3: RNA-seq genes to pathways,Transcriptomics,2020-11,2020-11-18
898,5,That it is hands-on and with detailed explenations,,,Quality Control,Sequence analysis,2020-11,2020-11-18
899,5,Very clearly written and helpful. ,I didn't see the advanced options for graphing until i played with the versions. ,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-11,2020-11-19
901,5,Clear and easy to follow,,,Quality Control,Sequence analysis,2020-11,2020-11-19
902,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2020-11,2020-11-20
903,5,easy to follow yet very comprehensive ,its perfect,,Reference-based RNA-Seq data analysis,Transcriptomics,2020-11,2020-11-22
904,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-11,2020-11-23
905,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-11,2020-11-23
906,2,,"I wonder if you have considered asking biologists that are not trained in bioinformatics to go through your materials. There's a fair bit of shorthand and lack of clarity in this module that leads me to believe skilled bioinformaticians are editing this material for clarity (and therefore thinking that it's clearly written because it's clear to them). If true, this seems to defy the mission of making the module learnable by non-bioinformaticians. Many of your modules are clear and I enjoy them, but it's unfortunate that this one is not as clear. ",,Reference-based RNA-Seq data analysis,Transcriptomics,2020-11,2020-11-24
907,2,,"I couldn't get past the ""filter"" part of this exercise because it did not explicitly state what filter tool to use. Filter using what? Again, many of your modules are helpful, but just as many need a biologist that is not a bioinformatics expert to help you understand where your directions are not clear. This module seems to have been edited by people that know bioinformatics, so all the stuff that's obvious to them isn't caught. ",,Annotating a protein list identified by LC-MS/MS experiments,Proteomics,2020-11,2020-11-24
908,2,"Use of images and screenshots helps guide the training process, as users know what to look for.","Explanatory text needs to be substantially expanded, explaining what Interval-Wise Testing is at least in layman's terms. Additionally, explanations for data shown in images is required, else these images appear meaningless. IWT is not well-known enough to leave these things assumed.",,Interval-Wise Testing for omics data,Statistics and machine learning,2020-11,2020-11-24
909,5,very simple,Thank you,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-11,2020-11-25
910,5,,The tutorial should probably be updated to use the latest versions of tools,,From peaks to genes,Introduction to Galaxy Analyses,2020-11,2020-11-27
911,5,,,,Quality Control,Sequence analysis,2020-11,2020-11-28
912,5,,,,Compute and analyze biodiversity metrics with PAMPA toolsuite,Ecology,2020-11,2020-11-28
913,5,"Everything was clearly mentioned, making it very easy for beginners",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-11,2020-11-28
914,5,,,,Quality Control,Sequence analysis,2020-11,2020-11-28
915,5,Very clear step by step instructions with good visual cues and tests along the way to verify I'm doing everything correctly. I can tell this is going to reinforce good habits and logical thinking later on in your students. Really nice job. ,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-11,2020-11-29
916,0,Hands on training,Hands on training,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-11,2020-11-29
917,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2020-11,2020-11-29
918,5,the easyness and biological meaning of the data,"some data import, from UCSC for example, some times fail and ends up in a different history and logges me out",,From peaks to genes,Introduction to Galaxy Analyses,2020-12,2020-12-01
919,1,,,,NGS data logistics,Introduction to Galaxy Analyses,2020-12,2020-12-01
920,5,It was very visual and easy to follow,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-12,2020-12-02
922,5,so easy and clear,,,Advanced R in Galaxy,Foundations of Data Science,2020-12,2020-12-03
923,5,,,,Basics of machine learning,Statistics and machine learning,2020-12,2020-12-04
924,5,,,,Introduction to deep learning,Statistics and machine learning,2020-12,2020-12-04
925,5,User-friendly ,/,,Antibiotic resistance detection,Metagenomics,2020-12,2020-12-05
926,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-12,2020-12-08
927,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-12,2020-12-08
928,5,,,,Quality Control,Sequence analysis,2020-12,2020-12-08
929,5,"easy to follow, well explained",more insight on the different options,,16S Microbial analysis with Nanopore data,Metagenomics,2020-12,2020-12-18
930,1,Everything was perfect!,Nothing specific.,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-12,2020-12-21
931,5,"concise, clear fast to perform",,,Basics of machine learning,Statistics and machine learning,2020-12,2020-12-23
932,5,,,,Quality Control,Sequence analysis,2020-12,2020-12-26
933,4,"Yes, but I needed more of NGS data analysis and interpretation","Include thoughrough analysis of sequencing data eg finding a gene of interest, SNP, QTLs, marker trait associations etc",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-12,2020-12-27
934,5,,,,Mapping,Sequence analysis,2020-12,2020-12-28
935,0,Excellent step by step instructions,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-12,2020-12-28
936,5,,,,Unicycler Assembly,Assembly,2020-12,2020-12-28
937,5,Easy to understand.,,,Downstream Single-cell RNA analysis with RaceID,Transcriptomics,2020-12,2020-12-30
938,5,It is very complet.,It could be said some points that are on Galaxy (the 'Yes/No' parts) and are not fully explained.,,Quality Control,Sequence analysis,2020-12,2020-12-30
939,0,everything,excellent as is,,From peaks to genes,Introduction to Galaxy Analyses,2021-01,2021-01-01
940,2,Clear Explanations,"I noticed the ""Note: this tool is heuristic; your results may differ slightly from the results here, and if repeated.""  But mine only showed one contig, with a length of 158kbp. I would consider this very different, not slightly different. Maybe add a few more examples of ""slightly different"" results  I am running the tool again to see what I get.  Additionally it took a long time to run this tool; almost an hour.   So it would be nice to know approximately how long a tool is going to take, (given the fastq file & runtime parameters), or maybe show the log file while it is running (assuming the actual tool writes to the log file rather than just storing the info in memory and writing the log at the end...)",,Chloroplast genome assembly,Assembly,2021-01,2021-01-02
941,4,,In a previous version of this tutorial a join was performed to add exon info to the number of snps. This step was removed in a later version of the tutorial.,,Galaxy 101,Introduction to Galaxy Analyses,2021-01,2021-01-06
942,5,,,,Deploying a compute cluster in OpenStack via Terraform,Galaxy Server administration,2021-01,2021-01-06
943,5,The explaination about each step,,,16S Microbial Analysis with mothur (extended),Metagenomics,2021-01,2021-01-07
944,5,,,,Label-free data analysis using MaxQuant,Proteomics,2021-01,2021-01-08
945,2,The explaination about how to use Prokka,"JBrowse doesn't work with this parameters, you should update this tutorial",,Genome annotation with Prokka,Genome Annotation,2021-01,2021-01-08
946,3,,,,16S Microbial analysis with Nanopore data,Metagenomics,2021-01,2021-01-10
947,5,,,,3: RNA-seq genes to pathways,Transcriptomics,2021-01,2021-01-14
948,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-01,2021-01-15
949,0,the explanations are well ,,,Unicycler Assembly,Assembly,2021-01,2021-01-15
950,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2021-01,2021-01-15
951,5,,This tutorial would benefit from the addition of an updated data import section for the Zenodo inputs. Seems like a good candidate for a Co-Fest GTN+Papercuts contribution (should be quick to do + examples in other tutos). reminder @jennaj,,GO Enrichment Analysis,Transcriptomics,2021-01,2021-01-15
952,5,Très didactique,"Peut être ajouter des copies d'écrans de l'historique ? (repérer les numéro d'actions) Mais peut être ""anxiogène"" si on a refait certaines opérations et que l'on perd ce repère de numéro...Donc non en fait :)",,Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads,Assembly,2021-01,2021-01-19
953,5,it's cleanness and clarity and simplicity. it is ideal for start,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-01,2021-01-19
954,5,Very clear,Where to find the tools (not always easy in the toolbar),,Compute and analyze biodiversity metrics with PAMPA toolsuite,Ecology,2021-01,2021-01-20
955,5,,,,Mass spectrometry imaging: Examining the spatial distribution of analytes,Metabolomics,2021-01,2021-01-20
956,5,,,,Visualization of RNA-Seq results with heatmap2,Transcriptomics,2021-01,2021-01-21
957,3,"I think it's supposed to be an introductory course, but it got too complicated and theoretical. I am familiar with sequencing terminologies but I didn't understand what do you mean bye peak and broadness of the peaks!! Thanks BTW",I think the theoretical part of this tutorial should be explained in details,,From peaks to genes,Introduction to Galaxy Analyses,2021-01,2021-01-22
958,4,Clear examples,More information on using git repos with ansible would be helpful,,Ansible,Galaxy Server administration,2021-01,2021-01-25
959,0,very structured and understandable,"templates/nginx/galaxy.j2 -> ""uwsgi_pass 127.0.0.1:8080"" should not be configured statically and changed to a variable from the groups_vars if the port is changed there in the uwsgi variable settings",,Galaxy Installation with Ansible,Galaxy Server administration,2021-01,2021-01-25
960,5,It is easy to follow,,,Ansible,Galaxy Server administration,2021-01,2021-01-25
961,5,very easy to follow; excellent documentation,note about using non- let's encrypt certificate,,Galaxy Installation with Ansible,Galaxy Server administration,2021-01,2021-01-25
962,4,,"specifiying that all commands (including andible-galaxy) should be rin in the `intro` directory, I had to rsync my new `~/roles` folder to intro",,Ansible,Galaxy Server administration,2021-01,2021-01-25
963,0,The incremental approach to a rather complex system,"I was confused at first by the ""service"" service. More real, less abstract examples would be clearer, IMO",,Ansible,Galaxy Server administration,2021-01,2021-01-25
964,5,Everything is great. ,"sysadmin part could be little bit slower, its hard to catch on for us who are not from purely IT background. ",,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-26
965,5,,,,Galaxy Installation with Ansible,Galaxy Server administration,2021-01,2021-01-26
966,5,,,,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-26
967,5,"Everything, from top to bottom. ",,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-26
968,0,very beneficial pace!,,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-26
969,5,You guys rock! this CVMFS thing is so coool!,,,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-26
970,5,,,,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-26
971,5,"Nice, easy to follow","I'm coming at this as a non-galaxy user so jumping straight into the interface  was initially a bit confusing, a quick video tour of the Galaxy interface (~5 minutes) beforehand would have made this easier for me",,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-26
972,5,,,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-26
973,5,,,,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-26
974,4,,,,Data Libraries,Galaxy Server administration,2021-01,2021-01-26
975,3,all the examples worked,"The flow of the tutorial feels awkward in places - you extract the workflow but then  install a tool singly before going back to the extracted .yml to do a batch.  Not directly related to this tutorial but coming from the previous Galaxy setup tutorials, I'm left thinking - what happened to Ansible and the concept of reinstalling the entire Galaxy in one playbook?",,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-26
976,5,,,,Data Libraries,Galaxy Server administration,2021-01,2021-01-26
978,0,Holy crap this is a cool feature!,I still dream of the ability to set a title of a the output dataset before clicking EXECUTE,,Name tags for following complex histories,Using Galaxy and Managing your Data,2021-01,2021-01-26
979,5,"Great clarity. Thorough tutorial, leaves no stones unturned","Modify the file parts (e.g. points 1. and 5. of ""Hands-on: Configure Galaxy to use Singularity"") are clear and a useful exercise to better understand the ansible and galaxy hierarchy, but if for some reason you made a mistake in a previous step, it could be useful to also have a snippet of the whole modified code to fasten the correction process and avoid backtracking.",,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-26
980,5,It shows me a really easy way of installing tools from tool shed avoiding the use of the graphical interface. That is perfect when you need to install many tools at once.,It could be explained how to include this tasks in the ansible playbook (if possible) in the case of a full re-installation of Galaxy. Or maybe better separate the two steps...,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-26
981,5,"Clear, straightforward, brief and complete",,,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-26
982,5,This is really cool!!!!,"For the most used datasets (for ex. hg38) could we have a local copy, or would that be irrelevant? Could you explain how to calculate a good cache space?  If I use a cluster, will I need to configure this FS in each node (given that the folder is at / directly)?",,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-27
983,5,,,,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-01,2021-01-27
984,5,,,,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-01,2021-01-27
985,5,,,,Mapping Jobs to Destinations,Galaxy Server administration,2021-01,2021-01-27
987,5,,,,Mapping Jobs to Destinations,Galaxy Server administration,2021-01,2021-01-27
988,5,"Just the right amount of content, Slurm is so large it would have been easy to get over complicated","Minor: the references to pulsar in the examples could be confusing, might be worth adding a warning for anyone who is going through this tutorial before the pulsar tutorial",,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-01,2021-01-27
989,0,the step by step exercises,for me as a noob some diagrams or schemes would often be helpful to see how things relate to each others,,Galaxy Installation with Ansible,Galaxy Server administration,2021-01,2021-01-27
990,5,,,,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-27
991,5,all of it!,maybe some notes about what may require proxies,,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-27
992,5,easy to understand and follow,,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-27
993,4,I feel like I understand how to manage this quite well now,"The Python code and some of the xml seems to paste into the cli with loads of new tab characters, in vim I used ':set paste' to switch off auto indent. Doesn't happen with the yml though",,Mapping Jobs to Destinations,Galaxy Server administration,2021-01,2021-01-27
994,5,very easy to follow and understand. ,,,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-27
996,0,very helpful,some video issue around 8m,,Data Libraries,Galaxy Server administration,2021-01,2021-01-27
997,5,"fantastic, incredibly helpful. trainer is really great.","Would like info on adding to existing clusters (ie., SGE, etc)",,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-01,2021-01-27
999,5,"The clear explanation of every part of the roles, modules etc. What they do why they're there. Even if I wasn't interested in everything it's good to know that if I ever need that information I can look back to this tutorial","I don't know if it can be improved but the actual time of the tutorial is really long. After watching it, I totally understand why but if it could be something like 1 hour videos (or less) that would be less tiring. Of course I am fully aware that there is a broad range of topics that need to be covered.",,Galaxy Installation with Ansible,Galaxy Server administration,2021-01,2021-01-27
1000,5,,,,Mapping Jobs to Destinations,Galaxy Server administration,2021-01,2021-01-27
1001,5,,,,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-27
1002,5,,,,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-27
1003,5,I really need this knowledge. ,"I have stuck in the part of editing templates/galaxy/config/job_conf.xml.j2 because some lines differ from the resulting file from previous session (namely singularity was set as default) and I had to compare the file showed in the video with the file I had. I took some time, but it worked at the end.  It seems not so complicated now, but it will be when connecting to a living cluster. What happens when I have SLURM already configured at the server? And MUNGE (this guy made some nodes crash here because of very large log files), do I need to configure it in the cluster? It was not clear.",,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-01,2021-01-27
1004,5,This is amazing!,,,Running Jobs on Remote Resources with Pulsar,Galaxy Server administration,2021-01,2021-01-28
1005,5,,,,Running Jobs on Remote Resources with Pulsar,Galaxy Server administration,2021-01,2021-01-28
1006,4,This is a powerful way of controlling the resource usage according to tool requirements.,"This task includes many layers of complexity. It would be nice if, at the beginning or ending of each subtopic the needed changes were pointed in the file tree. For example, using the 'tree' command and then highlight all the files that have to be created / edited for this feature to work. It is just for better visualization of the modifications. I get something useful when calling git status.",,Mapping Jobs to Destinations,Galaxy Server administration,2021-01,2021-01-28
1008,5,Good detail,The tutorial assumes a bit more knowledge than a lot of the others so it won't be as useful for someone who comes to it stand-alone as a pulsar via ansible setup guide,,Running Jobs on Remote Resources with Pulsar,Galaxy Server administration,2021-01,2021-01-28
1009,5,,,,Use Singularity containers for running Galaxy jobs,Galaxy Server administration,2021-01,2021-01-28
1010,4,"Easy to add local storage, the dropbox integration is good","Warning: switching object store types will cause issues - suggest putting that at the top and emphasise that this is a tutorial that shouldn't be blindly followed on a proper install.  The S3 section assumed quite a lot of knowledge - I didn't understand, but expect someone who manages data in an S3 bucket will!  ",,Distributed Object Storage,Galaxy Server administration,2021-01,2021-01-28
1011,4,,,,Data Libraries,Galaxy Server administration,2021-01,2021-01-28
1012,4,,,,Galaxy Monitoring with gxadmin,Galaxy Server administration,2021-01,2021-01-28
1013,5,,,,Galaxy Tool Management with Ephemeris,Galaxy Server administration,2021-01,2021-01-28
1014,5,,,,Galaxy Monitoring with Telegraf and Grafana,Galaxy Server administration,2021-01,2021-01-28
1015,5,CVMFS is a great addition both for Galaxy and in general. It was a great thing to know.,In the tutorial nothing. It's perfect. I would like CVMFS to include reference genomes indexed for methylation analysis (e.g. with Bismark). I dropped a question about it in slack as well.,,Reference Data with CVMFS,Galaxy Server administration,2021-01,2021-01-28
1016,5,This is a very well written tutorial.  I really appreciated how we were shown ways to thoroughly check that rabbitmq was working as expected before moving on to the next step.,,,Running Jobs on Remote Resources with Pulsar,Galaxy Server administration,2021-01,2021-01-28
1017,5,Each part was beside its example.,Add more images to each part and more questions to assure learning.,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-01,2021-01-29
1018,4,,There is a big chunk of the tutorial misssing from the video (the video is stuck in the setup stage).,,Data Libraries,Galaxy Server administration,2021-01,2021-01-29
1019,3,Ansible instructions worked,"I found the content on Grafana and monitoring/alerts really confusing, it felt almost like it is for an older version of Grafana.",,Galaxy Monitoring with Telegraf and Grafana,Galaxy Server administration,2021-01,2021-01-29
1020,5,The whole concept of being able to separate training needs vs production needs is brilliant,3. We next need to configure this plugin in our job configuration (files/galaxy/config/job_conf.xml): Should be templates/galaxy/config/job_conf.xml.j2 to match rest of training?,,Training Infrastructure as a Service (TIaaS),Galaxy Server administration,2021-01,2021-01-29
1021,5,,,,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-01,2021-01-29
1022,5,quick and easy,Link to guide on how to secure it,,Galaxy Monitoring with Reports,Galaxy Server administration,2021-01,2021-01-29
1023,5,,,,Mapping Jobs to Destinations,Galaxy Server administration,2021-01,2021-01-29
1025,5,Concise and clear. Thank you!,,,Genome annotation with Prokka,Genome Annotation,2021-01,2021-01-29
1026,4,It gave an excellent crash course in Ansible and how best to use it in Galaxy,"Possibly one or two links to other Ansible resources in the docco, but can't think of anything else.",,Ansible,Galaxy Server administration,2021-02,2021-02-01
1027,5,Realy clear and solid explanations of how to use Ansible for Galaxy installation,,,Galaxy Installation with Ansible,Galaxy Server administration,2021-02,2021-02-01
1028,4,"Some good things to note and keep track of regarding moving to production, especially updating the version.",,,Galaxy Installation with Ansible,Galaxy Server administration,2021-02,2021-02-01
1029,5,,,,Quality Control,Sequence analysis,2021-02,2021-02-01
1030,4,Covered all the steps,Parameters could have been explained,,Hi-C analysis of Drosophila melanogaster cells using HiCExplorer,Epigenetics,2021-02,2021-02-01
1031,5,,,,Data Libraries,Galaxy Server administration,2021-02,2021-02-02
1032,5,,,,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-02,2021-02-02
1033,5,Background information about NGS data progressing and file types,Perhaps could includes some information about how to view or check the SAM/BAM file.,,NGS data logistics,Introduction to Galaxy Analyses,2021-02,2021-02-03
1034,5,The simplicity,Add a short section on using nginx basic authentication to secure it from public eyes,,Galaxy Monitoring with Reports,Galaxy Server administration,2021-02,2021-02-05
1035,4,Achievable within 2hrs,Some clarity on assumptions such as recessive mutation and the purpose of the mapping strain (for non-geneticists). And SnpEff4.1 is no longer available. Can this be patched? ,,Mapping and molecular identification of phenotype-causing mutations,Variant Analysis,2021-02,2021-02-05
1036,5,,,,Quality Control,Sequence analysis,2021-02,2021-02-06
1037,4,,,,Mapping,Sequence analysis,2021-02,2021-02-06
1038,0,,you may show the progression files in green to show us the file we have after each step i have problem with FASTQ interlacer i follow the tutorials and after this step i have two files one of them is empty and it's not working for the further stem with velveth so i'm stock at this step i don'understand why,,An Introduction to Genome Assembly,Assembly,2021-02,2021-02-10
1039,0,i like it!,,,Group tags for complex experimental designs,Using Galaxy and Managing your Data,2021-02,2021-02-10
1040,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-11
1041,5,Very informative.,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1042,5,The detail and complexity. Fantastic! ,Possibly broken into smaller tutorials?,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-15
1043,5,"Very clear, all tools are clearly explained, small questions to help us understand the output results",,,Quality Control,Sequence analysis,2021-02,2021-02-15
1044,5,"Very clear presentation, the results are clearly explained helping bioinformatician/biologist to understand the output","Some tools were not in the right column, maybe use 'search tools' instead of looking for tools in a specific section (when the tool is actually in another section). Especially for Galaxy beginners",,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1045,5,Very helpful to rerun the same steps in one go instead of running each step individually! Workflows save time!!,,,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2021-02,2021-02-15
1046,5,Very clear and interesting. IGV and JBrowse are indeed very interesting tools to view alignment !,,,Mapping,Sequence analysis,2021-02,2021-02-15
1047,4,How workflow idea was introduced.,,,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2021-02,2021-02-15
1048,4,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1049,4,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1050,4,Overall good structure,"It is rather specific, a short introduction ahead on the tools and ideas might be helpful",,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1051,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1052,5,Complex but very interesting!! All steps are clearly explained.,"As i said, the data analysis was complex. So detailing the results would have helped to better understand. ",,NGS data logistics,Introduction to Galaxy Analyses,2021-02,2021-02-15
1053,5,Very helpful basics of R,,,R basics in Galaxy,Foundations of Data Science,2021-02,2021-02-15
1054,5,Very interesting libraries (tidyr and dplyr) for data analysis,More self training exercise,,Advanced R in Galaxy,Foundations of Data Science,2021-02,2021-02-15
1055,5,very interesting library to visualize data,,,RNA Seq Counts to Viz in R,Transcriptomics,2021-02,2021-02-15
1056,4,,,,Mapping,Sequence analysis,2021-02,2021-02-15
1057,5,It was clear and easy to follow.,,,Quality Control,Sequence analysis,2021-02,2021-02-15
1058,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-15
1059,5,,,,Quality Control,Sequence analysis,2021-02,2021-02-15
1060,5,Clear and easy,,,Chloroplast genome assembly,Assembly,2021-02,2021-02-15
1061,5,,,,Quality Control,Sequence analysis,2021-02,2021-02-16
1062,5,The tutorial and the goals were clear,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-16
1063,3,,,,Quality Control,Sequence analysis,2021-02,2021-02-16
1064,5,Loved the self training with new data at the end. Helps user create a workflow to re run the steps rapidly and compare results. The tutorials were very clear and easy to understand,,,Chloroplast genome assembly,Assembly,2021-02,2021-02-16
1066,3,Very easy to follow,,,Quality Control,Sequence analysis,2021-02,2021-02-16
1067,5,Practical,Error of concept of nucleotides vrs amino acids,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-16
1068,5,"Very clear explanation. Video makes it easier to understand results. The small questions are very good, helps to better understand results. Functional enrichment of DEGs was very interesting with clear visualization. ",,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-16
1069,3,,,,Chloroplast genome assembly,Assembly,2021-02,2021-02-16
1070,5,,,,Quality Control,Sequence analysis,2021-02,2021-02-16
1071,5,,,,Quality Control,Sequence analysis,2021-02,2021-02-16
1072,4,,,,RStudio in Galaxy,Using Galaxy and Managing your Data,2021-02,2021-02-16
1073,5,Everything about the lesson was crisp in explanation and content,I believe the tutorial is next to perfect,,Quality Control,Sequence analysis,2021-02,2021-02-16
1074,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-16
1075,4,,,,Chloroplast genome assembly,Assembly,2021-02,2021-02-16
1076,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-16
1077,4,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-16
1078,0,The tutorial was easy to follow.,There are very many different choices to make  - a fold-out in the tutorial of just some of themwould be nice.   ,,Mapping,Sequence analysis,2021-02,2021-02-16
1079,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-17
1080,3,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-17
1081,0,"I like the examples,being related to genomics .",I am not sure if I would grasp it without previous knowledge. ,,R basics in Galaxy,Foundations of Data Science,2021-02,2021-02-17
1082,5,very concise and helpful !,,,RNA Seq Counts to Viz in R,Transcriptomics,2021-02,2021-02-17
1083,5,,,,R basics in Galaxy,Foundations of Data Science,2021-02,2021-02-17
1084,4,,,,Advanced R in Galaxy,Foundations of Data Science,2021-02,2021-02-17
1085,5,well explained ,I would include some links with more options such as color palettes... shapes... ,,RNA Seq Counts to Viz in R,Transcriptomics,2021-02,2021-02-17
1086,5,Complete pipeline to analyse nanopore data. Easy tutorial and results are very clear with a visualisation with krona,,,16S Microbial analysis with Nanopore data,Metagenomics,2021-02,2021-02-17
1087,5,,,,R basics in Galaxy,Foundations of Data Science,2021-02,2021-02-17
1088,0,I've never done a single cell analysis before!,It was a little bit fast.,,Understanding Barcodes,Transcriptomics,2021-02,2021-02-17
1090,5,Very good level of detail. Just appropriate. ,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-02,2021-02-17
1091,3,,,,Understanding Barcodes,Transcriptomics,2021-02,2021-02-17
1092,5,Easy to follow,"We use FastQC.  it would be nice to have some information about ""Contaminant list "", ""Adapter list"", ""Submodule and Limit specifing file"" etc",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-17
1093,5,"very clear instructions, step by step to go back and repeat if need to do","not sure, but also following the video to complement the instructions was great",,Quality Control,Sequence analysis,2021-02,2021-02-17
1095,1,,what will the preprocessing be useful for - perhaps this should be explained?,,Understanding Barcodes,Transcriptomics,2021-02,2021-02-17
1096,5,It was very straight forward with clear language and explanations. I found it both very detailed and somehow concise and palatable. ,nothing at all at the moment. ,,Quality Control,Sequence analysis,2021-02,2021-02-17
1097,4,,,,Understanding Barcodes,Transcriptomics,2021-02,2021-02-18
1098,3,,,,Pre-processing of 10X Single-Cell RNA Datasets,Transcriptomics,2021-02,2021-02-18
1099,5,Easy to follow tutorial. I learnt about so many tools used for data analysis.,,,Clustering 3K PBMCs with Scanpy,Transcriptomics,2021-02,2021-02-18
1100,5,Simple and easy to demonstrate gene annotation using contigs,,,Genome annotation with Prokka,Genome Annotation,2021-02,2021-02-18
1101,5,Very easy and simple to understand,,,Introduction to deep learning,Statistics and machine learning,2021-02,2021-02-18
1102,4,Very illustrative,The link to the full pipeline 'A full pipeline which produces both an AnnData and tabular file for inspection is provided here.' directs to a file scrna_tenx.ga - what are .ga files and what program should be used for these?,,Pre-processing of 10X Single-Cell RNA Datasets,Transcriptomics,2021-02,2021-02-18
1103,4,,,,Chloroplast genome assembly,Assembly,2021-02,2021-02-18
1104,5,How easy and friendly is the tutorial ,Nothing,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-02,2021-02-18
